timesteps,ep_rew_mean,ep_rew_std,ep_len_mean
624000,147.50341824999998,25.21175816568423,968.63
626000,147.42557788000002,25.064344233796948,968.63
628000,147.42557788000002,25.064344233796948,968.63
630000,147.09249347999997,24.882425360689485,968.63
632000,147.60381382,24.523858383154185,968.63
634000,147.31248947,24.541013818198774,968.63
636000,146.81968195000002,27.011294751289707,961.11
638000,146.13087299000003,28.14535142986138,953.17
640000,145.46843525000003,28.297140800416233,953.17
642000,145.2987429,28.266822324014534,953.17
644000,145.2987429,28.266822324014534,953.17
646000,145.68839878,28.189229292417203,953.17
648000,146.46685376,28.40238122102323,953.17
650000,145.65973698,30.21702821138332,945.34
652000,145.72791754999997,30.735739511109294,945.34
654000,146.37121632999998,30.693431475076224,945.34
656000,146.49905462,30.59668308875828,945.34
658000,146.35068704,30.59292553591111,945.34
660000,146.35068704,30.59292553591111,945.34
662000,147.64145148,30.920568945544186,945.34
664000,147.54896612,30.888191740355254,945.34
666000,147.98599277000002,30.890665933148085,945.34
668000,150.63751317,29.41041023410434,961.15
670000,152.03514927000003,28.10344155290174,968.85
672000,149.39060672,30.894305287967327,952.34
674000,149.6872627,30.79287047518323,952.34
676000,149.6872627,30.79287047518323,952.34
678000,149.38998680999998,31.063951183503956,952.34
680000,149.57913758999996,31.160728982387603,952.34
682000,149.56199299,32.477300682056615,944.66
684000,149.85651104,32.5576114666148,944.66
686000,148.81078620999997,34.142880031977725,936.88
688000,147.83050033,36.0550209568638,929.02
690000,146.61901445,37.66868722472403,921.12
692000,146.61901445,37.66868722472403,921.12
694000,146.77225695,37.48835440640649,921.12
696000,146.26937094000002,37.383892775602625,921.12
698000,146.13223161000002,37.301442288655466,921.12
700000,147.24918503,37.99839935914236,921.12
702000,146.21372118000002,38.91123661046192,913.41
704000,145.84611435999997,39.84697925833945,905.33
706000,145.75653583,40.68270243110738,905.39
708000,143.46576120999998,42.68781375797752,889.23
710000,143.23256537999998,42.508645955995945,889.23
712000,143.67371197,42.67018624111833,889.23
714000,144.10628766,42.95522298924657,889.23
716000,144.47444045000003,43.18229903159909,889.23
718000,144.59365558000002,43.20802909849153,889.23
720000,144.10583254,43.342711762693696,889.23
722000,144.11583215,43.77512641336967,888.97
724000,143.57863059999997,43.724618692935486,888.97
726000,143.76887147,43.87088041486568,888.97
728000,144.57958965,43.18156097906056,896.91
730000,144.83707193,43.10832481266181,896.91
732000,145.83871632000003,43.46255889246667,896.91
734000,145.73513417,43.48348624230896,896.91
736000,144.93819834,44.23701617591418,888.84
738000,145.15426843,44.51914908219962,880.9
740000,145.22724936,44.4126764654285,880.9
742000,144.97771832,44.31367571428777,880.9
744000,144.14081676,45.219899563186985,872.97
746000,144.7252027,45.52077469849904,872.97
748000,144.80735035,45.57571532223991,872.97
750000,143.45245931,46.56621191306921,864.9
752000,143.14164999000002,46.45858943777129,864.9
754000,140.51678744999998,46.461665138878004,856.73
756000,141.44158339,45.986396439887514,864.87
758000,141.97306867,45.61242751037446,865.15
760000,142.02827501000002,45.58939505840111,865.15
762000,141.48660374000002,46.2313516071707,857.29
764000,139.88066631,48.175653349544554,849.27
766000,139.60622404,48.05361802210936,849.27
768000,140.45271322,47.37937828323588,856.95
770000,139.62365488999998,47.28176495787935,849.23
772000,140.55805554999998,46.11043706955912,857.09
774000,141.18192792999997,46.36456551552056,857.09
776000,140.99387879999998,46.238271811760896,857.09
778000,141.96957996,45.01841202357812,864.99
780000,142.20557756,45.24404966559482,864.99
782000,142.20557756,45.24404966559482,864.99
784000,142.13758698,45.206730038775476,864.99
786000,142.84157007000002,44.14185377352013,872.7
788000,143.04319022,44.509446660377115,872.81
790000,141.72584201,45.67604912768371,864.98
792000,141.71765624999998,45.67584332843314,864.98
794000,141.69501104,45.66351267878399,864.98
796000,142.50271891,44.39928815156319,872.78
798000,142.50271891,44.39928815156319,872.78
800000,142.50271891,44.39928815156319,872.78
802000,144.55220718,42.264572022333674,888.94
804000,144.47178881999997,42.26357845962686,888.94
806000,143.4663237,44.183957226744106,881.05
808000,143.60906549,44.230322365557726,881.05
810000,143.95558634,44.24208827917788,881.05
812000,144.90511333999999,43.94435371927783,880.94
814000,144.90511333999999,43.94435371927783,880.94
816000,144.90511333999999,43.94435371927783,880.94
818000,144.49432434,44.191875640730245,880.94
820000,144.49793798000002,43.983253277135624,880.94
822000,144.19598809,45.518777361596136,881.13
824000,144.19598809,45.518777361596136,881.13
826000,145.05090467,45.18991874370528,888.85
828000,146.13637774,44.247876959997726,896.9
830000,144.40542491,45.34690276771758,888.94
832000,144.40542491,45.34690276771758,888.94
834000,145.29088331,44.66883096692481,896.87
836000,144.99818288999998,44.426052130597725,896.87
838000,145.82046258,43.04097516256155,904.94
840000,145.82046258,43.04097516256155,904.94
